LXT2 info: dumpfile dump.lx2 opened for output.
r=0, NSR=0, ramin=   20, sin=   20, ramout=    1, sout=   21, count=    0, raddr=    0, waddr=    6, 0
r=0, NSR=0, ramin=   19, sin=   19, ramout=    1, sout=   20, count=    0, raddr=    0, waddr=    6, 0
r=0, NSR=1, ramin=   18, sin=   18, ramout=    1, sout=   19, count=    0, raddr=    0, waddr=    6, 1
r=0, NSR=1, ramin=   18, sin=   18, ramout=    1, sout=   18, count=    0, raddr=    0, waddr=    7, 1
r=0, NSR=0, ramin=    0, sin=    0, ramout=    1, sout=   18, count=    0, raddr=    0, waddr=    7, 0
r=0, NSR=0, ramin=    0, sin=    0, ramout=    1, sout=    0, count=    0, raddr=    0, waddr=    7, 0
r=0, NSR=1, ramin=   17, sin=   17, ramout=    1, sout=    0, count=    0, raddr=    0, waddr=    7, 1
r=0, NSR=1, ramin=   17, sin=   17, ramout=    1, sout=   17, count=    0, raddr=    0, waddr=    8, 1
r=0, NSR=0, ramin=   16, sin=   16, ramout=    1, sout=   17, count=    0, raddr=    0, waddr=    8, 0
r=0, NSR=0, ramin=   15, sin=   15, ramout=    1, sout=   16, count=    0, raddr=    0, waddr=    8, 0
r=0, NSR=0, ramin=   14, sin=   14, ramout=    1, sout=   15, count=    0, raddr=    0, waddr=    8, 0
r=0, NSR=0, ramin=   13, sin=   13, ramout=    1, sout=   14, count=    0, raddr=    0, waddr=    8, 0
r=0, NSR=1, ramin=   12, sin=   12, ramout=    1, sout=   13, count=    0, raddr=    0, waddr=    8, 1
r=0, NSR=1, ramin=   12, sin=   12, ramout=    1, sout=   12, count=    0, raddr=    0, waddr=    9, 1
r=0, NSR=0, ramin=   11, sin=   11, ramout=    1, sout=   12, count=    0, raddr=    0, waddr=    9, 0
r=0, NSR=0, ramin=   10, sin=   10, ramout=    1, sout=   11, count=    0, raddr=    0, waddr=    9, 0
r=0, NSR=0, ramin=    9, sin=    9, ramout=    1, sout=   10, count=    0, raddr=    0, waddr=    9, 0
r=0, NSR=0, ramin=    8, sin=    8, ramout=    1, sout=    9, count=    0, raddr=    0, waddr=    9, 0
r=0, NSR=1, ramin=    7, sin=    7, ramout=    1, sout=    8, count=    0, raddr=    0, waddr=    9, 1
r=0, NSR=1, ramin=    7, sin=    7, ramout=    1, sout=    7, count=    0, raddr=    0, waddr=   10, 1
r=0, NSR=1, ramin=    6, sin=    6, ramout=    1, sout=    7, count=    0, raddr=    0, waddr=   10, 1
r=0, NSR=1, ramin=    5, sin=    5, ramout=    1, sout=    6, count=    0, raddr=    0, waddr=   10, 1
